german,english
Unspezifische Allgemeinwörter,Unspecific general words
"Allgemeines, Interdisziplinäre Allgemeinwörter","General, Interdisciplinary general terms"
Telekommunikation und Verkehr,Telecommunications and transportation
"Fremdenverkehr, Hotel- und Gaststättengewerbe","Tourism, hotel and restaurant industry"
"Umweltschutz, Umweltbelastung","Environmental protection, environmental pollution"
"Raumordnung, Stadtplanung, Landschaftsgestaltung","Spatial planning, urban planning, landscape design"
"Öffentliche und private Bautätigkeit, Bau- und Bodenpolitik","Public and private construction activity, construction and land policy"
"Bauwirtschaft, Baubetrieb und Bodenmarkt","Construction industry, construction operations and land market"
"Natur, Naturwissenschaften allgemein","Nature, natural sciences in general"
Geowissenschaften,Geosciences
Reise,Journey
"Geografie, Heimat- und Länderkunde (Allgemeines)","Geography, local and regional studies (general)"
Physische Geografie,Physical geography
Anthropogeografie,Anthropogeography
"Personen zu Geodäsie, Kartografie","People related to geodesy, cartography"
"Hydrologie, Meereskunde","Hydrology, Oceanography"
Paläontologie,Paleontology
"Allgemeine Geologie, Geophysik","General geology, geophysics"
Historische Geologie,Historical geology
"Mineralogie, Boden-, Gesteins- und Lagerstättenkunde","Mineralogy, soil, rock and deposit science"
"Meteorologie, Klimatologie, Hochatmosphäre, Magnetosphäre","Meteorology, climatology, high atmosphere, magnetosphere"
"Astronomie, Weltraumforschung","Astronomy, space research"
"Physik (Allgemeines), Mathematische Physik","Physics (General), Mathematical Physics"
"Mechanik, Wärme, Akustik","Mechanics, heat, acoustics"
"Elektrizität, Magnetismus, Optik","Electricity, magnetism, optics"
"Elementarteilchen, Kern-, Atom-, Molekularphysik","Elementary particles, nuclear, atomic and molecular physics"
"Plasma, Gas, Flüssigkeit, Festkörper","Plasma, gas, liquid, solid"
Chemie (Allgemeines),Chemistry (General)
Theoretische und Physikalische Chemie,Theoretical and physical chemistry
Analytische Chemie und Untersuchungsmethoden,Analytical chemistry and test methods
Anorganische Chemie,Inorganic chemistry
Organische Chemie,Organic chemistry
Biologie allgemein,Biology in general
"Genetik, Evolution","Genetics, evolution"
"Biochemie, Biophysik, Zytologie","Biochemistry, biophysics, cytology"
Mikrobiologie,Microbiology
Untersuchungsmethoden (Biologie),Research methods (biology)
Mathematik,Mathematics
"Stochastik, Operations Research","Stochastics, Operations Research"
"Informatik, Datenverarbeitung","Computer science, data processing"
Informatikprodukte (Hardware- und Softwareprodukte),IT products (hardware and software products)
"Verfahrenstechnik, Technische Chemie","Process engineering, technical chemistry"
"Werkstoffkunde, Werkstoffprüfung","Materials science, materials testing"
Technikgeschichte,History of technology
Technik (Allgemeines),Technology (General)
"Technische Physik, Technische Mathematik","Technical physics, technical mathematics"
"Mess-, Steuerungs- und Regelungstechnik","Measurement, control and regulation technology"
Lebensmitteltechnologie,Food technology
"Textiltechnik, Gummi- und Lederverarbeitung","Textile technology, rubber and leather processing"
Holzbearbeitung,Woodworking
"Papierherstellung, Grafische Technik","Papermaking, Graphic technology"
"Glas, Keramik, Steine und Erden","Glass, ceramics, stones and earths"
Militärtechnik,Military technology
"Sanitärtechnik, Umwelttechnik","Sanitary technology, environmental technology"
Ortsgebundene Bauwerke,Local buildings
Architektur,Architecture
Bautechnik,Construction engineering
"Bergbau, Hüttentechnik","Mining, metallurgy"
"Energietechnik, Kerntechnik","Energy technology, nuclear technology"
Maschinenbau,Mechanical engineering
"Fahrzeugbau, Fördertechnik, Raumfahrttechnik","Vehicle construction, conveyor technology, aerospace technology"
Fertigungstechnik,Manufacturing technology
Feinwerktechnik,Precision engineering
"Elektrotechnik, Elektrische Energietechnik","Electrical engineering, electrical power engineering"
"Elektronik, Nachrichtentechnik","Electronics, communications engineering"